"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2023","50.809","51.450","52.555","49.400","64.49K","1.77%"
"10/25/2023","49.924","49.000","51.200","48.650","77.32K","1.34%"
"10/24/2023","49.264","51.000","53.200","48.385","82.84K","-3.92%"
"10/23/2023","51.276","48.000","51.900","47.850","64.69K","0.32%"
"10/20/2023","51.112","51.000","53.250","49.270","77.18K","1.87%"
"10/19/2023","50.172","49.050","50.945","46.665","80.36K","-1.30%"
"10/18/2023","50.833","49.000","51.750","47.320","71.26K","3.96%"
"10/17/2023","48.896","48.500","49.955","46.200","90.33K","0.89%"
"10/16/2023","48.467","53.000","53.335","48.145","97.23K","-10.22%"
"10/13/2023","53.982","52.025","56.100","50.750","102.69K","1.85%"
"10/12/2023","53.002","45.500","53.300","45.100","106.27K","15.05%"
"10/11/2023","46.068","48.900","50.000","45.400","82.02K","-6.85%"
"10/10/2023","49.455","44.490","49.820","44.100","116.24K","12.52%"
"10/09/2023","43.953","39.950","44.615","39.500","101.20K","14.97%"
"10/06/2023","38.231","36.000","38.625","35.605","69.65K","5.59%"
"10/05/2023","36.207","37.255","38.850","35.985","79.93K","-5.81%"
"10/04/2023","38.441","37.500","38.700","36.870","62.73K","3.93%"
"10/03/2023","36.987","38.000","38.600","35.790","89.18K","-5.97%"
"10/02/2023","39.335","42.000","42.665","38.400","76.90K","-6.03%"
"09/29/2023","41.859","42.750","43.205","41.150","59.44K","5.34%"
"09/28/2023","39.736","39.000","41.665","39.000","54.78K","1.12%"
"09/27/2023","39.296","39.500","40.000","38.260","66.41K","-2.54%"
"09/26/2023","40.322","43.600","43.675","39.300","82.76K","-9.27%"
"09/25/2023","44.442","40.000","45.000","39.250","98.49K","11.69%"
"09/22/2023","39.791","37.000","41.940","36.720","101.99K","1.75%"
"09/21/2023","39.105","36.550","39.450","35.000","94.22K","4.88%"
"09/20/2023","37.284","37.300","39.580","35.395","95.17K","1.36%"
"09/19/2023","36.782","34.000","37.600","33.755","77.89K","6.69%"
"09/18/2023","34.475","35.005","35.850","33.895","55.07K","-5.50%"
"09/15/2023","36.483","35.000","36.775","34.200","66.70K","2.71%"
"09/14/2023","35.521","37.750","38.000","35.125","73.48K","-3.52%"
"09/13/2023","36.817","34.700","38.060","34.105","69.72K","6.10%"
"09/12/2023","34.701","36.000","36.700","34.305","74.15K","-3.20%"
"09/11/2023","35.848","35.250","37.950","35.185","80.18K","3.88%"
"09/08/2023","34.508","34.505","36.900","33.920","90.04K","5.35%"
"09/07/2023","32.755","31.075","33.480","30.500","87.60K","5.41%"
"09/06/2023","31.075","34.800","34.900","30.625","82.71K","-9.79%"
"09/05/2023","34.449","34.800","35.000","31.995","63.83K","2.62%"
"09/04/2023","33.571","37.000","37.500","32.925","62.31K","-5.74%"
"09/01/2023","35.617","36.200","37.250","34.190","71.39K","1.68%"
"08/31/2023","35.029","38.005","38.655","34.785","62.85K","-2.68%"
"08/30/2023","35.992","34.175","36.175","33.550","35.03K","2.26%"
"08/29/2023","35.195","37.880","38.750","34.350","58.84K","-8.38%"
"08/28/2023","38.414","34.835","38.645","34.750","25.05K","10.46%"
"08/25/2023","34.777","32.005","35.800","31.505","74.57K","8.89%"
"08/24/2023","31.938","32.800","34.000","28.985","100.40K","-13.18%"
"08/23/2023","36.786","42.000","42.910","35.025","93.39K","-14.27%"
"08/22/2023","42.908","40.700","44.800","39.095","96.93K","5.21%"
"08/21/2023","40.782","40.000","42.900","37.980","88.94K","12.01%"
"08/18/2023","36.410","37.000","38.405","35.640","60.12K","-1.13%"
"08/17/2023","36.825","37.290","39.520","36.155","71.07K","-2.54%"
"08/16/2023","37.784","39.995","42.660","37.090","68.41K","-2.65%"
"08/15/2023","38.813","35.750","40.705","35.405","90.81K","12.72%"
"08/14/2023","34.434","35.800","37.260","33.680","59.81K","-2.45%"
"08/11/2023","35.300","37.750","38.090","35.075","65.70K","-4.74%"
"08/10/2023","37.056","40.000","42.450","36.500","87.87K","-6.95%"
"08/09/2023","39.823","31.500","43.545","31.040","155.34K","28.19%"
"08/08/2023","31.066","30.785","31.810","29.500","51.41K","1.90%"
"08/07/2023","30.487","29.250","31.200","28.625","41.34K","5.66%"
"08/04/2023","28.853","31.220","31.470","28.500","59.85K","-5.32%"
"08/03/2023","30.473","28.765","31.390","28.765","60.23K","6.02%"
"08/02/2023","28.742","27.420","29.180","27.150","51.35K","5.97%"
"08/01/2023","27.123","29.170","30.500","26.920","67.18K","-4.38%"
"07/31/2023","28.366","26.875","29.050","26.340","58.77K","9.77%"
"07/28/2023","25.841","28.240","28.500","25.370","36.01K","-9.12%"
"07/27/2023","28.434","28.935","29.550","28.025","74.34K","-2.87%"
"07/26/2023","29.275","33.000","34.350","28.725","77.68K","-10.33%"
"07/25/2023","32.648","30.350","33.125","29.750","74.94K","6.84%"
"07/24/2023","30.557","27.250","30.725","27.005","58.96K","8.50%"
"07/21/2023","28.164","28.500","30.890","27.160","79.63K","0.52%"
"07/20/2023","28.018","25.400","28.890","25.280","68.15K","3.91%"
"07/19/2023","26.963","27.285","28.215","25.555","75.19K","-0.39%"
"07/18/2023","27.069","25.975","27.650","25.120","65.57K","7.84%"
"07/17/2023","25.101","24.900","25.855","24.000","61.29K","-3.30%"
"07/14/2023","25.957","27.100","28.755","25.070","70.83K","-2.44%"
"07/13/2023","26.607","27.050","27.615","25.540","54.95K","-0.12%"
"07/12/2023","26.639","29.650","29.650","26.215","82.16K","-8.33%"
"07/11/2023","29.061","29.000","30.400","28.820","56.79K","-3.86%"
"07/10/2023","30.227","32.995","33.755","29.355","73.35K","-9.71%"
"07/07/2023","33.478","32.725","33.900","32.360","55.09K","3.49%"
"07/06/2023","32.348","33.745","34.030","32.225","54.61K","-5.89%"
"07/05/2023","34.373","34.505","36.300","33.855","57.95K","-2.93%"
"07/04/2023","35.410","34.000","35.600","33.155","52.54K","4.36%"
"07/03/2023","33.929","37.500","39.805","33.740","70.74K","-8.55%"
"06/30/2023","37.103","35.600","38.120","33.855","64.78K","5.47%"
"06/29/2023","35.180","34.000","35.600","31.900","43.78K","3.09%"
"06/28/2023","34.125","35.200","35.600","33.250","50.62K","-1.10%"
"06/27/2023","34.506","32.000","35.150","31.555","69.69K","7.92%"
"06/26/2023","31.975","34.065","37.000","31.600","83.14K","-1.64%"
"06/23/2023","32.507","33.750","34.145","31.200","61.86K","-4.66%"
"06/22/2023","34.097","37.500","38.000","33.710","75.68K","-7.20%"
"06/21/2023","36.743","37.800","40.000","36.170","89.06K","-5.08%"
"06/20/2023","38.708","35.500","40.700","35.500","88.89K","10.92%"
